#,label,environment,wifi_band,number_of_users,user_1_location,user_2_location,user_3_location,user_4_location,user_5_location,user_6_location,user_1_activity,user_2_activity,user_3_activity,user_4_activity,user_5_activity,user_6_activity
11042,act_204_53,meeting_room,5.0,0,,,,,,,,,,,,
5903,act_60_62,meeting_room,5.0,1,,,,,,b,,,,,,sit_down
7364,act_75_38,empty_room,2.4,1,,,b,,,,,,jump,,,
9433,act_96_28,empty_room,5.0,1,,,,,,d,,,,,,nothing
10517,act_107_23,empty_room,5.0,5,,d,e,a,b,c,,lie_down,pick_up,sit_down,stand_up,wave
5279,act_54_32,meeting_room,2.4,5,d,,a,b,c,e,wave,,pick_up,sit_down,stand_up,lie_down
10743,act_201_51,classroom,2.4,0,,,,,,,,,,,,
4274,act_44_17,meeting_room,2.4,2,,,d,e,,,,,nothing,walk,,
5462,act_56_17,meeting_room,5.0,1,,c,,,,,,stand_up,,,,
2517,act_26_42,classroom,5.0,2,,,b,c,,,,,sit_down,stand_up,,
5107,act_52_58,meeting_room,2.4,5,b,c,d,e,a,,jump,jump,wave,wave,lie_down,
3871,act_40_10,meeting_room,2.4,1,,,,e,,,,,,jump,,
11245,act_206_58,empty_room,5.0,0,,,,,,,,,,,,
11163,act_205_75,empty_room,2.4,0,,,,,,,,,,,,
11217,act_206_30,empty_room,5.0,0,,,,,,,,,,,,
534,act_6_39,classroom,2.4,1,,,,,,e,,,,,,rotation
322,act_4_25,classroom,2.4,1,,,,a,,,,,,nothing,,
4871,act_50_20,meeting_room,2.4,4,,d,,a,b,c,,rotation,,wave,lie_down,walk
10284,act_104_87,empty_room,5.0,4,,a,,c,d,e,,lie_down,,lie_down,pick_up,lie_down
11126,act_205_38,empty_room,2.4,0,,,,,,,,,,,,
8139,act_83_21,empty_room,2.4,3,,d,,a,,c,,jump,,lie_down,,rotation
108,act_2_9,classroom,2.4,1,,b,,,,,,nothing,,,,
10491,act_106_96,empty_room,5.0,5,a,b,c,d,e,,lie_down,lie_down,lie_down,lie_down,lie_down,
9773,act_99_71,empty_room,5.0,2,,,,,b,c,,,,,stand_up,sit_down
6903,act_70_72,meeting_room,5.0,5,c,d,e,a,b,,stand_up,stand_up,stand_up,nothing,nothing,
2587,act_27_13,classroom,5.0,2,,,,,a,b,,,,,sit_down,jump
968,act_10_77,classroom,2.4,3,d,e,a,,,,wave,wave,wave,,,
6819,act_69_87,meeting_room,5.0,4,e,,b,,d,a,lie_down,,lie_down,,pick_up,lie_down
4635,act_47_81,meeting_room,2.4,3,,e,,b,,d,,stand_up,,nothing,,stand_up
4618,act_47_64,meeting_room,2.4,3,,d,,a,,c,,nothing,,walk,,nothing
3027,act_31_57,classroom,5.0,4,b,c,d,e,,,rotation,rotation,jump,jump,,
1517,act_16_32,classroom,2.4,5,d,e,a,b,c,,wave,lie_down,pick_up,sit_down,stand_up,
857,act_9_65,classroom,2.4,2,,,,,b,c,,,,,rotation,walk
2933,act_30_62,classroom,5.0,3,b,,,,a,c,sit_down,,,,nothing,sit_down
8814,act_90_3,empty_room,2.4,5,a,,c,d,e,b,rotation,,wave,lie_down,pick_up,jump
4975,act_51_25,meeting_room,2.4,4,c,,e,,b,d,pick_up,,stand_up,,walk,sit_down
1603,act_17_19,classroom,2.4,5,,d,e,a,b,c,,walk,rotation,jump,wave,nothing
7638,act_78_15,empty_room,2.4,1,,,,,,b,,,,,,lie_down
6408,act_65_72,meeting_room,5.0,3,,d,,a,,c,,stand_up,,nothing,,stand_up
7796,act_79_74,empty_room,2.4,2,d,e,,,,,walk,walk,,,,
7887,act_80_66,empty_room,2.4,2,,,e,a,,,,,rotation,jump,,
3435,act_35_69,classroom,5.0,5,,d,e,a,b,c,,lie_down,lie_down,pick_up,pick_up,lie_down
3861,act_39_99,meeting_room,2.4,1,,,c,,,,,,stand_up,,,
9817,act_100_16,empty_room,5.0,3,b,c,d,,,,pick_up,sit_down,stand_up,,,
9142,act_93_34,empty_room,5.0,1,,,a,,,,,,stand_up,,,
8603,act_87_89,empty_room,2.4,4,e,,b,,d,a,sit_down,,sit_down,,stand_up,sit_down
1684,act_18_1,classroom,2.4,5,a,,c,d,e,b,nothing,,rotation,jump,wave,walk
10086,act_102_87,empty_room,5.0,3,e,,,,d,a,lie_down,,,,pick_up,lie_down
3134,act_32_65,classroom,5.0,4,,d,,a,b,c,,walk,,rotation,rotation,walk
6078,act_62_39,meeting_room,5.0,2,,,b,c,,,,,wave,lie_down,,
2233,act_23_55,classroom,5.0,1,,,,,a,,,,,,rotation,
2408,act_25_32,classroom,5.0,2,d,e,,,,,wave,lie_down,,,,
8934,act_91_24,empty_room,5.0,1,c,,,,,,lie_down,,,,,
8879,act_90_68,empty_room,2.4,5,c,,e,a,b,d,wave,,wave,lie_down,lie_down,wave
10159,act_103_61,empty_room,5.0,4,b,c,d,e,,,pick_up,pick_up,sit_down,sit_down,,
2037,act_21_57,classroom,5.0,1,,,d,,,,,,jump,,,
5813,act_59_71,meeting_room,5.0,1,,,,,b,,,,,,stand_up,
6271,act_64_34,meeting_room,5.0,3,d,e,a,,,,pick_up,sit_down,stand_up,,,
1951,act_20_70,classroom,5.0,1,,d,,,,,,pick_up,,,,
9750,act_99_48,empty_room,5.0,2,,,,,e,a,,,,,wave,rotation
5174,act_53_26,meeting_room,2.4,5,,d,e,a,b,c,,stand_up,nothing,walk,rotation,sit_down
4675,act_48_22,meeting_room,2.4,3,c,,,,b,d,jump,,,,sit_down,wave
5791,act_59_49,meeting_room,5.0,1,,,,,e,,,,,,lie_down,
6395,act_65_59,meeting_room,5.0,3,,c,,e,,b,,wave,,lie_down,,wave
347,act_4_50,classroom,2.4,1,,,,d,,,,,,lie_down,,
4476,act_46_21,meeting_room,2.4,3,c,d,e,,,,rotation,jump,wave,,,
6863,act_70_32,meeting_room,5.0,5,d,e,a,b,c,,wave,lie_down,pick_up,sit_down,stand_up,
10591,act_107_97,empty_room,5.0,5,,b,c,d,e,a,,pick_up,pick_up,pick_up,pick_up,pick_up
6467,act_66_32,meeting_room,5.0,3,d,,,,c,e,wave,,,,stand_up,lie_down
7357,act_75_31,empty_room,2.4,1,,,a,,,,,,lie_down,,,
7979,act_81_59,empty_room,2.4,2,,,,,a,b,,,,,pick_up,wave
2313,act_24_36,classroom,5.0,1,,,,,,d,,,,,,stand_up
6445,act_66_10,meeting_room,5.0,3,b,,,,a,c,nothing,,,,wave,walk
4554,act_46_99,meeting_room,2.4,3,a,b,c,,,,stand_up,stand_up,stand_up,,,
102,act_2_3,classroom,2.4,1,,b,,,,,,jump,,,,
8976,act_91_66,empty_room,5.0,1,c,,,,,,rotation,,,,,
4002,act_41_42,meeting_room,2.4,1,,,,,d,,,,,,nothing,
7365,act_75_39,empty_room,2.4,1,,,b,,,,,,wave,,,
