#,label,environment,wifi_band,number_of_users,user_1_location,user_2_location,user_3_location,user_4_location,user_5_location,user_6_location,user_1_activity,user_2_activity,user_3_activity,user_4_activity,user_5_activity,user_6_activity
2,act_1_2,classroom,2.4,1,a,,,,,,walk,,,,,
5,act_1_5,classroom,2.4,1,a,,,,,,wave,,,,,
6,act_1_6,classroom,2.4,1,a,,,,,,lie_down,,,,,
10,act_1_10,classroom,2.4,1,b,,,,,,nothing,,,,,
12,act_1_12,classroom,2.4,1,b,,,,,,rotation,,,,,
14,act_1_14,classroom,2.4,1,b,,,,,,wave,,,,,
17,act_1_17,classroom,2.4,1,b,,,,,,sit_down,,,,,
22,act_1_22,classroom,2.4,1,c,,,,,,jump,,,,,
39,act_1_39,classroom,2.4,1,e,,,,,,rotation,,,,,
55,act_1_55,classroom,2.4,1,b,,,,,,nothing,,,,,
56,act_1_56,classroom,2.4,1,b,,,,,,walk,,,,,
61,act_1_61,classroom,2.4,1,b,,,,,,pick_up,,,,,
65,act_1_65,classroom,2.4,1,c,,,,,,walk,,,,,
73,act_1_73,classroom,2.4,1,d,,,,,,nothing,,,,,
75,act_1_75,classroom,2.4,1,d,,,,,,rotation,,,,,
78,act_1_78,classroom,2.4,1,d,,,,,,lie_down,,,,,
79,act_1_79,classroom,2.4,1,d,,,,,,pick_up,,,,,
90,act_1_90,classroom,2.4,1,e,,,,,,stand_up,,,,,
95,act_1_95,classroom,2.4,1,a,,,,,,wave,,,,,
99,act_1_99,classroom,2.4,1,a,,,,,,stand_up,,,,,
106,act_2_7,classroom,2.4,1,,b,,,,,,sit_down,,,,
117,act_2_18,classroom,2.4,1,,c,,,,,,nothing,,,,
118,act_2_19,classroom,2.4,1,,d,,,,,,walk,,,,
126,act_2_27,classroom,2.4,1,,d,,,,,,nothing,,,,
127,act_2_28,classroom,2.4,1,,e,,,,,,walk,,,,
131,act_2_32,classroom,2.4,1,,e,,,,,,lie_down,,,,
134,act_2_35,classroom,2.4,1,,e,,,,,,stand_up,,,,
138,act_2_39,classroom,2.4,1,,a,,,,,,jump,,,,
141,act_2_42,classroom,2.4,1,,a,,,,,,pick_up,,,,
146,act_2_47,classroom,2.4,1,,b,,,,,,walk,,,,
148,act_2_49,classroom,2.4,1,,b,,,,,,jump,,,,
149,act_2_50,classroom,2.4,1,,b,,,,,,wave,,,,
154,act_2_55,classroom,2.4,1,,c,,,,,,nothing,,,,
155,act_2_56,classroom,2.4,1,,c,,,,,,walk,,,,
159,act_2_60,classroom,2.4,1,,c,,,,,,lie_down,,,,
162,act_2_63,classroom,2.4,1,,c,,,,,,stand_up,,,,
164,act_2_65,classroom,2.4,1,,d,,,,,,walk,,,,
190,act_2_91,classroom,2.4,1,,b,,,,,,nothing,,,,
191,act_2_92,classroom,2.4,1,,b,,,,,,walk,,,,
198,act_2_99,classroom,2.4,1,,b,,,,,,stand_up,,,,
203,act_3_5,classroom,2.4,1,,,c,,,,,,pick_up,,,
207,act_3_9,classroom,2.4,1,,,c,,,,,,walk,,,
208,act_3_10,classroom,2.4,1,,,d,,,,,,rotation,,,
214,act_3_16,classroom,2.4,1,,,d,,,,,,stand_up,,,
225,act_3_27,classroom,2.4,1,,,e,,,,,,walk,,,
226,act_3_28,classroom,2.4,1,,,a,,,,,,rotation,,,
233,act_3_35,classroom,2.4,1,,,a,,,,,,nothing,,,
236,act_3_38,classroom,2.4,1,,,b,,,,,,jump,,,
237,act_3_39,classroom,2.4,1,,,b,,,,,,wave,,,
250,act_3_52,classroom,2.4,1,,,c,,,,,,sit_down,,,
256,act_3_58,classroom,2.4,1,,,d,,,,,,wave,,,
261,act_3_63,classroom,2.4,1,,,d,,,,,,nothing,,,
263,act_3_65,classroom,2.4,1,,,e,,,,,,walk,,,
270,act_3_72,classroom,2.4,1,,,e,,,,,,stand_up,,,
272,act_3_74,classroom,2.4,1,,,a,,,,,,walk,,,
278,act_3_80,classroom,2.4,1,,,a,,,,,,sit_down,,,
282,act_3_84,classroom,2.4,1,,,b,,,,,,rotation,,,
286,act_3_88,classroom,2.4,1,,,b,,,,,,pick_up,,,
295,act_3_97,classroom,2.4,1,,,c,,,,,,pick_up,,,
302,act_4_5,classroom,2.4,1,,,,d,,,,,,sit_down,,
303,act_4_6,classroom,2.4,1,,,,d,,,,,,stand_up,,
307,act_4_10,classroom,2.4,1,,,,e,,,,,,jump,,
318,act_4_21,classroom,2.4,1,,,,a,,,,,,lie_down,,
330,act_4_33,classroom,2.4,1,,,,b,,,,,,stand_up,,
339,act_4_42,classroom,2.4,1,,,,c,,,,,,stand_up,,
341,act_4_44,classroom,2.4,1,,,,c,,,,,,walk,,
342,act_4_45,classroom,2.4,1,,,,c,,,,,,rotation,,
346,act_4_49,classroom,2.4,1,,,,d,,,,,,wave,,
353,act_4_56,classroom,2.4,1,,,,e,,,,,,rotation,,
363,act_4_66,classroom,2.4,1,,,,a,,,,,,jump,,
365,act_4_68,classroom,2.4,1,,,,a,,,,,,lie_down,,
366,act_4_69,classroom,2.4,1,,,,a,,,,,,pick_up,,
375,act_4_78,classroom,2.4,1,,,,b,,,,,,pick_up,,
385,act_4_88,classroom,2.4,1,,,,c,,,,,,pick_up,,
391,act_4_94,classroom,2.4,1,,,,d,,,,,,jump,,
392,act_4_95,classroom,2.4,1,,,,d,,,,,,wave,,
393,act_4_96,classroom,2.4,1,,,,d,,,,,,lie_down,,
396,act_4_99,classroom,2.4,1,,,,d,,,,,,stand_up,,
405,act_5_9,classroom,2.4,1,,,,,e,,,,,,jump,
407,act_5_11,classroom,2.4,1,,,,,a,,,,,,lie_down,
413,act_5_17,classroom,2.4,1,,,,,a,,,,,,rotation,
418,act_5_22,classroom,2.4,1,,,,,b,,,,,,sit_down,
420,act_5_24,classroom,2.4,1,,,,,b,,,,,,nothing,
455,act_5_59,classroom,2.4,1,,,,,a,,,,,,pick_up,
459,act_5_63,classroom,2.4,1,,,,,a,,,,,,walk,
467,act_5_71,classroom,2.4,1,,,,,b,,,,,,stand_up,
482,act_5_86,classroom,2.4,1,,,,,d,,,,,,lie_down,
483,act_5_87,classroom,2.4,1,,,,,d,,,,,,pick_up,
489,act_5_93,classroom,2.4,1,,,,,e,,,,,,rotation,
503,act_6_8,classroom,2.4,1,,,,,,a,,,,,,sit_down
505,act_6_10,classroom,2.4,1,,,,,,b,,,,,,nothing
513,act_6_18,classroom,2.4,1,,,,,,b,,,,,,stand_up
515,act_6_20,classroom,2.4,1,,,,,,c,,,,,,walk
524,act_6_29,classroom,2.4,1,,,,,,d,,,,,,walk
